Displacement - Plot 0	Force - Plot 0	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,146097	
48,5001	-0,146097	
48,5001	-0,121747	
48,5001	-0,121747	
48,5001	-0,121747	
48,5778	-0,121747	
48,6894	-0,121747	
48,7842	-0,121747	
48,8783	-0,146097	
48,973	-0,0973979	
49,0992	-0,146097	
49,1847	-0,0243495	
49,3018	-0,146097	
49,3957	0	
49,5229	0,0243495	
49,6491	1,60707	
49,7762	2,67844	
49,9034	3,36023	
50,0299	3,82287	
50,1562	4,26116	
50,2827	4,60205	
50,4104	4,84555	
50,537	5,04034	
50,6628	5,16209	
50,7588	5,30819	
50,9009	5,45428	
51,027	5,55168	
51,1227	5,62473	
51,2647	5,67343	
51,3756	5,77083	
51,4707	5,79518	
51,5658	5,86823	
51,708	5,94127	
51,8029	6,06302	
51,9453	6,11172	
52,04	6,16042	
52,1353	6,20912	
52,2609	6,28217	
52,355	6,25782	
52,4504	6,33087	
52,5454	6,33087	
52,6392	6,35522	
52,7499	6,37957	
52,8445	6,45261	
52,9881	6,52566	
53,0833	6,47696	
53,1924	6,45261	
53,2878	6,50131	
53,3816	6,55001	
53,4766	6,55001	
53,5702	6,55001	
53,6656	6,55001	
53,7763	6,57436	
53,8862	6,64741	
54,0305	6,59871	
54,1238	6,62306	
54,2188	6,62306	
54,2973	6,69611	
54,4076	6,64741	
54,5019	6,64741	
54,5965	6,67176	
54,6915	6,67176	
54,7855	6,69611	
54,8805	6,69611	
54,9589	6,69611	
55,0543	6,72046	
55,1471	6,74481	
55,242	6,74481	
55,337	6,74481	
55,4468	6,79351	
55,5577	6,81786	
55,7011	6,79351	
55,7952	6,76916	
55,8896	6,81786	
55,9848	6,84221	
56,0795	6,86655	
56,1735	6,84221	
56,2678	6,81786	
56,3466	6,84221	
56,4404	6,84221	
56,5364	6,8909	
56,646	6,8909	
56,7401	6,8909	
56,8512	6,8909	
56,9346	6,9396	
57,0077	6,9396	
57,1017	6,96395	
57,1979	7,01265	
57,3224	7,037	
57,4014	7,01265	
57,4961	6,9883	
57,5922	7,01265	
57,7021	7,01265	
57,7987	7,01265	
57,8748	6,9883	
57,9688	7,01265	
58,0648	7,01265	
58,159	7,01265	
58,2524	7,037	
58,3475	7,037	
58,4414	7,037	
58,5369	7,01265	
58,6476	7,06135	
58,7424	7,06135	
58,8254	7,0857	
58,8977	7,11005	
58,9929	7,06135	
59,0865	7,06135	
59,1981	7,06135	
59,2915	7,11005	
59,3869	7,1344	
59,4822	7,1344	
59,5756	7,15875	
59,6711	7,1831	
59,7651	7,1831	
59,86	7,20745	
60,0188	7,1831	
60,114	7,20745	
60,2075	7,1831	
60,3034	7,1831	
60,3963	7,20745	
60,4911	7,20745	
60,6015	7,1831	
60,713	7,20745	
60,8074	7,2318	
60,9007	7,2318	
60,9952	7,2318	
61,0914	7,2318	
61,1851	7,2318	
61,2809	7,37789	
61,4067	7,40224	
61,5012	7,30485	
61,5948	7,2805	
61,69	7,2805	
61,7846	7,2805	
61,8785	7,30485	
61,9584	7,30485	
62,0529	7,30485	
62,163	7,30485	
62,257	7,3292	
62,3676	7,3292	
62,4641	7,35354	
62,5409	7,3292	
62,6517	7,37789	
62,7463	7,37789	
62,826	7,40224	
62,9085	7,37789	
62,996	7,37789	
63,0964	7,40224	
63,2019	7,37789	
63,2967	7,37789	
63,391	7,40224	
63,4847	7,37789	
63,5796	7,35354	
63,6741	7,37789	
63,7855	7,40224	
63,8948	7,40224	
63,9896	7,40224	
64,0843	7,40224	
64,179	7,40224	
64,2728	7,42659	
64,3683	7,42659	
64,4638	7,45094	
64,5566	7,42659	
64,652	7,42659	
64,7461	7,42659	
64,8399	7,42659	
64,9356	7,45094	
65,0137	7,42659	
65,1247	7,42659	
65,2203	7,42659	
65,2969	7,42659	
65,391	7,42659	
65,4863	7,42659	
65,5705	7,42659	
65,657	7,42659	
65,74	7,45094	
65,8289	7,42659	
65,923	7,45094	
66,0174	7,45094	
66,1114	7,47529	
66,2068	7,49964	
66,3011	7,45094	
66,3955	7,45094	
66,4893	7,45094	
66,5837	7,49964	
66,6788	7,49964	
66,7757	7,45094	
66,8681	7,47529	
66,9631	7,54834	
67,1057	7,54834	
67,1996	7,47529	
67,294	7,49964	
67,3898	7,49964	
67,4835	7,47529	
67,5623	7,49964	
67,6572	7,47529	
67,7514	7,49964	
67,8462	7,52399	
67,9401	7,52399	
68,0347	7,54834	
68,1453	7,57269	
68,2396	7,57269	
68,3249	7,62139	
68,411	7,64574	
68,5047	7,59704	
68,5991	7,59704	
68,6789	7,59704	
68,7886	7,62139	
68,8727	7,64574	
68,9605	7,59704	
69,0554	7,59704	
69,1489	7,59704	
69,2275	7,59704	
69,3225	7,62139	
69,4171	7,59704	
69,5119	7,62139	
69,6062	7,62139	
69,7002	7,59704	
69,8114	7,59704	
69,9054	7,57269	
70,0012	7,62139	
70	7,59704	
70	7,57269	
70	7,57269	
70	7,57269	
70	7,57269	
70	7,54834	
70	7,54834	
70	7,57269	
70	7,57269	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,57269	
70	7,57269	
70	7,54834	
70	7,54834	
70	7,57269	
70	7,54834	
70	7,54834	
70	7,57269	
70	7,57269	
70	7,54834	
70	7,54834	
70	7,52399	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
70	7,54834	
69,9215	7,52399	
69,826	6,81786	
69,7308	6,84221	
69,6208	6,86655	
69,5271	6,84221	
69,4317	6,84221	
69,3377	6,81786	
69,2426	6,81786	
69,1479	6,81786	
69,0702	6,81786	
68,985	6,84221	
68,8986	6,81786	
68,8221	6,79351	
68,7279	6,79351	
68,6322	6,74481	
68,5378	6,76916	
68,4425	6,79351	
68,3486	6,79351	
68,2547	6,76916	
68,1767	6,72046	
68,0818	6,72046	
67,9871	6,76916	
67,892	6,74481	
67,7975	6,76916	
67,7033	6,79351	
67,6088	6,76916	
67,5306	6,76916	
67,4361	6,79351	
67,3417	6,79351	
67,2474	6,79351	
67,152	6,79351	
67,0576	6,76916	
66,9632	6,76916	
66,8689	6,76916	
66,7744	6,79351	
66,6784	6,69611	
66,5843	6,62306	
66,4895	6,55001	
66,3946	7,01265	
66,3012	6,72046	
66,2065	6,74481	
66,1128	6,74481	
66,0181	6,74481	
65,9218	6,72046	
65,8283	6,69611	
65,7335	6,69611	
65,6388	6,67176	
65,5447	6,67176	
65,4485	6,67176	
65,3568	6,67176	
65,2605	6,67176	
65,166	6,67176	
65,072	6,67176	
64,9777	6,67176	
64,8837	6,64741	
64,7871	6,64741	
64,6935	6,62306	
64,5998	6,64741	
64,5046	6,62306	
64,4101	6,62306	
64,3153	6,62306	
64,2209	6,59871	
64,1259	6,57436	
64,0144	6,59871	
63,921	6,59871	
63,8263	6,59871	
63,7155	6,55001	
63,6217	6,57436	
63,5263	6,55001	
63,4319	6,57436	
63,3377	6,59871	
63,243	6,57436	
63,1491	6,55001	
63,0698	6,52566	
62,9752	6,52566	
62,8822	6,52566	
62,7847	6,50131	
62,7071	6,50131	
62,6126	6,50131	
62,5184	6,52566	
62,4239	6,47696	
62,3137	6,45261	
62,2195	6,42826	
62,125	6,45261	
62,0276	6,45261	
61,9334	6,42826	
