Displacement - Plot 0	Force - Plot 0	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	-0,146097	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
8,2E-5	0,0243495	
0,076828	0,048699	
0,212349	0,511339	
0,332895	1,60707	
0,455419	2,75149	
0,596507	4,16376	
0,723297	5,72213	
0,840549	6,9883	
0,960898	7,98663	
1,07718	8,98496	
1,21291	9,81284	
1,35514	10,6651	
1,4984	11,5904	
1,64138	12,2721	
1,7842	12,8809	
1,91088	13,4409	
2,0275	13,9523	
2,14719	14,3175	
2,27365	14,7071	
2,41718	15,1454	
2,53306	15,5593	
2,65318	15,8759	
2,74823	16,1194	
2,87447	16,3385	
2,9695	16,5333	
3,102	16,7524	
3,18844	16,9472	
3,28313	17,142	
3,40964	17,3125	
3,50434	17,556	
3,64653	17,6777	
3,74128	17,9456	
3,81986	18,043	
3,93663	18,1647	
4,02428	18,3352	
4,11793	18,4813	
4,21383	18,6274	
4,3555	18,7248	
4,45109	18,8952	
4,54455	18,9439	
4,6395	19,0656	
4,76603	19,2117	
4,84442	19,3091	
4,94003	19,4065	
5,03351	19,5039	
5,12753	19,577	
5,22173	19,65	
5,31603	19,7961	
5,41144	19,8935	
5,50581	19,9422	
5,59938	19,9909	
5,69479	20,0883	
5,83851	20,1857	
5,93204	20,3075	
6,02589	20,4049	
6,12034	20,4536	
6,21644	20,5266	
6,32688	20,6484	
6,42291	20,7214	
6,49905	20,7701	
6,59587	20,8675	
6,67855	20,8675	
6,76505	20,8919	
6,85942	20,9406	
6,95456	21,038	
7,08613	21,0623	
7,17416	21,0867	
7,26845	21,1841	
7,36333	21,2328	
7,44733	21,3545	
7,53442	21,4032	
7,64562	21,4275	
7,73965	21,4762	
7,83475	21,4519	
7,92773	21,5736	
8,01296	21,6223	
8,11809	21,671	
8,21185	21,7441	
8,307	21,7928	
8,40129	21,8415	
8,49531	21,9145	
8,58997	21,9389	
8,70078	21,9145	
8,79541	21,9389	
8,89016	21,9876	
8,95831	22,0606	
9,09311	22,1093	
9,18799	22,2067	
9,28262	22,2798	
9,37716	22,4015	
9,47237	22,4015	
9,55017	22,4989	
9,64537	22,3285	
9,73874	22,4746	
9,83348	22,4746	
9,92787	22,5476	
10,0223	22,572	
10,1168	22,5963	
10,211	22,645	
10,3055	22,6937	
10,4008	22,7181	
10,4961	22,7668	
10,5891	22,8642	
10,7006	22,8398	
10,7949	22,8155	
10,8896	22,7911	
10,9845	22,8885	
11,0791	22,9616	
11,1898	23,059	
11,3316	23,0103	
11,4264	23,132	
11,5211	23,1807	
11,6325	23,1807	
11,7262	23,132	
11,8363	23,2051	
11,9049	23,2781	
11,9923	23,3025	
12,0766	23,2051	
12,1645	23,1564	
12,249	23,2538	
12,3346	23,2538	
12,4296	23,3512	
12,5246	23,3999	
12,6354	23,4973	
12,7292	23,4242	
12,8242	23,4486	
12,9192	23,5216	
13,0195	23,4729	
13,1214	23,4973	
13,2157	23,546	
13,3102	23,546	
13,4048	23,5703	
13,4996	23,5947	
13,5934	23,6434	
13,6882	23,6677	
13,7567	23,7164	
13,8437	23,692	
13,922	23,7164	
14,0165	23,7407	
14,1111	23,7407	
14,206	23,8138	
14,2996	23,8625	
14,3942	23,8625	
14,4893	23,8625	
14,5842	23,9599	
14,6939	23,9355	
14,7883	23,9355	
14,8828	24,0086	
15,0103	24,106	
15,1049	24,0816	
15,1889	24,0086	
15,2758	24,0329	
15,3702	24,0573	
15,4656	24,106	
15,5601	24,106	
15,6542	24,0816	
15,7491	24,0573	
15,8433	24,1547	
15,9382	24,2277	
16,0329	24,2034	
16,133	24,2521	
16,2107	24,2521	
16,2996	24,3008	
16,3934	24,3008	
16,4873	24,3251	
16,5826	24,2764	
16,6761	24,3008	
16,7709	24,3495	
16,8659	24,3982	
16,9445	24,3982	
17,0393	24,4469	
17,1392	24,4956	
17,2268	24,4712	
17,3227	24,4712	
17,3999	24,5199	
17,4947	24,5199	
17,5885	24,5199	
17,6832	24,5199	
17,7778	24,593	
17,8729	24,6417	
17,9504	24,666	
18,0468	24,666	
18,1244	24,7391	
18,2179	24,6173	
18,3118	24,7391	
18,4084	24,7391	
18,4847	24,8121	
18,58	24,7147	
18,6749	24,6904	
18,7688	24,7878	
18,8639	24,7634	
18,9421	24,7878	
19,0355	24,8121	
19,1471	24,8121	
19,2417	24,8365	
19,3356	24,8365	
19,4135	24,8852	
19,5091	24,8852	
19,6037	24,8608	
19,6974	24,9339	
19,782	24,9339	
19,8691	24,9582	
19,9634	24,9582	
20,058	25,0069	
20,2009	25,0556	
20,2939	25,0556	
20,3894	25,08	
20,4845	25,08	
20,5797	25,0313	
20,6887	25,1043	
20,7678	25,1043	
20,8631	25,1774	
20,9564	25,2261	
21,0508	25,153	
21,1457	25,153	
21,241	25,1287	
21,3344	25,1043	
21,4288	25,2017	
21,5228	25,2504	
21,6024	25,2261	
21,696	25,2261	
21,7919	25,2991	
21,8688	25,2748	
21,9636	25,2991	
22,043	25,2991	
22,1369	25,2991	
22,2322	25,3722	
22,3102	25,3965	
22,4042	25,3722	
22,5147	25,4696	
22,6101	25,4696	
22,7038	25,4452	
22,7985	25,3478	
22,8926	25,4209	
22,9708	25,4696	
23,0551	25,4696	
23,1435	25,4939	
23,2276	25,567	
23,3144	25,5183	
23,409	25,567	
23,4885	25,5913	
23,5826	25,5913	
23,6763	25,5913	
23,7723	25,6157	
23,8659	25,6887	
23,9448	25,7131	
24,0389	25,7131	
24,149	25,6644	
24,2438	25,6887	
24,3391	25,7131	
24,4331	25,7131	
24,5291	25,6644	
24,6121	25,6887	
24,6804	25,7374	
24,7768	25,7861	
24,87	25,7861	
24,965	25,8592	
25,0758	25,8835	
25,186	25,9079	
25,28	25,9079	
25,3741	25,8835	
25,4694	25,8348	
25,5638	25,8105	
25,6591	25,8592	
25,7534	25,8835	
