Displacement - Plot 0	Force - Plot 0	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	-0,316543	
9,9E-5	0	
9,9E-5	0,0243495	
9,9E-5	0	
9,9E-5	0,0243495	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0,0243495	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0	
9,9E-5	0,0243495	
9,9E-5	0,0243495	
9,9E-5	0,0243495	
9,9E-5	0,0243495	
9,9E-5	0,0243495	
0,077767	0,048699	
0,205051	1,41227	
0,331265	3,74982	
0,458087	5,69778	
0,585783	7,42659	
0,712458	8,86321	
0,838292	10,1294	
0,964769	11,1521	
1,10811	12,053	
1,23444	13,0026	
1,36087	13,7331	
1,48834	14,3662	
1,61475	14,9506	
1,74099	15,3645	
1,86852	15,8515	
1,99485	16,2655	
2,12116	16,6063	
2,24751	16,8255	
2,34277	17,142	
2,4693	17,4099	
2,56454	17,6777	
2,69051	17,8725	
2,78509	18,0673	
2,91236	18,2621	
3,00624	18,3839	
3,10051	18,53	
3,18493	18,6761	
3,27137	18,7978	
3,36528	18,9196	
3,4443	19,0169	
3,57132	19,1387	
3,65411	19,3335	
3,74224	19,4065	
3,83636	19,4796	
3,93185	19,6257	
4,02606	19,6987	
4,12055	19,7961	
4,20467	19,9179	
4,29102	20,0153	
4,41765	20,0883	
4,51288	20,2101	
4,60677	20,3075	
4,70109	20,3318	
4,79533	20,3805	
4,89071	20,4292	
4,97421	20,5266	
5,05146	20,5997	
5,1402	20,6727	
5,21955	20,7214	
5,31307	20,8432	
5,40836	20,8919	
5,49207	20,9893	
5,5631	21,0623	
5,69011	21,0867	
5,78441	21,111	
5,87883	21,1597	
5,95815	21,2571	
6,05234	21,3058	
6,13582	21,4032	
6,20786	21,4275	
6,30286	21,4762	
6,38639	21,5736	
6,45875	21,5736	
6,55293	21,598	
6,64695	21,7197	
6,72652	21,7684	
6,82013	21,7684	
6,89938	21,6954	
6,98308	21,7928	
7,04282	21,8171	
7,13125	21,8415	
7,22649	21,9145	
7,3206	21,9389	
7,41476	22,0119	
7,54078	22,0119	
7,6363	22,085	
7,73148	22,158	
7,82564	22,158	
7,91978	22,2067	
8,0142	22,2067	
8,10832	22,2311	
8,20368	22,3528	
8,29771	22,3528	
8,3918	22,4015	
8,48665	22,4259	
8,5811	22,4502	
8,67528	22,4502	
8,77054	22,4989	
8,86473	22,5233	
8,95904	22,572	
9,05435	22,645	
9,14763	22,645	
9,24225	22,6937	
9,32087	22,7181	
9,41556	22,7668	
9,51018	22,7668	
9,60335	22,9372	
9,69886	23,0346	
9,84118	23,1077	
9,92013	22,8155	
10,0142	22,9129	
10,1086	22,8885	
10,2034	22,9859	
10,2869	23,1077	
10,359	23,132	
10,4543	23,1564	
10,5486	23,2294	
10,6428	23,1807	
10,7372	23,2051	
10,8325	23,0833	
10,9268	23,2294	
11,0209	23,2781	
11,1153	23,3025	
11,2096	23,2538	
11,2943	23,4242	
11,38	23,4486	
11,4752	23,5216	
11,5696	23,546	
11,6638	23,4486	
11,7431	23,4486	
11,8372	23,5703	
11,9315	23,619	
12,0258	23,5216	
12,1211	23,4973	
12,2151	23,5216	
12,299	23,4973	
12,3709	23,546	
12,4651	23,6434	
12,5595	23,692	
12,6537	23,619	
12,749	23,5947	
12,8433	23,692	
12,9376	23,692	
13,0319	23,692	
13,1273	23,7164	
13,2103	23,692	
13,2815	23,7164	
13,3593	23,7407	
13,4549	23,7407	
13,5492	23,7407	
13,6437	23,8138	
13,7381	23,8138	
13,8328	23,8138	
13,927	23,8138	
14,0213	23,8625	
14,1167	23,9355	
14,2111	23,9599	
14,2942	23,9599	
14,3663	24,0816	
14,4936	24,0086	
14,5879	23,9599	
14,6819	24,106	
14,7662	24,106	
14,8381	24,1547	
14,9325	24,1303	
15,0267	24,2034	
15,111	24,106	
15,183	24,1303	
15,2776	24,0573	
15,3718	24,106	
15,4662	24,1547	
15,5606	24,1303	
15,6557	24,2034	
15,7499	24,179	
15,8451	24,2034	
15,9394	24,2521	
16,0336	24,2521	
16,128	24,2764	
16,2224	24,2764	
16,3165	24,3251	
16,4109	24,3251	
16,4957	24,3495	
16,5828	24,3251	
16,6663	24,3982	
16,7386	24,3251	
16,8228	24,3008	
16,9108	24,4225	
17,005	24,4469	
17,1004	24,4712	
17,1934	24,4469	
17,2776	24,4712	
17,3491	24,4712	
17,4432	24,4956	
17,5386	24,4956	
17,6332	24,5199	
17,7275	24,5443	
17,8215	24,6417	
17,9168	24,6417	
18,0001	24,6417	
18,0884	24,6173	
18,1823	24,7391	
18,2775	24,6904	
18,3608	24,7634	
18,4325	24,6173	
18,5011	24,666	
18,5731	24,6904	
18,6676	24,7147	
18,7619	24,7634	
18,8568	24,6904	
18,9511	24,7391	
19,0455	24,7634	
19,1408	24,7634	
19,2348	24,7634	
19,329	24,7634	
19,4075	24,7878	
19,4912	24,8121	
19,5639	24,8365	
19,6473	24,8608	
19,7363	24,8365	
19,8296	24,8608	
19,9245	24,8608	
20,001	24,9095	
19,9998	24,9095	
19,9998	24,8608	
19,9998	24,8608	
19,9998	24,8608	
19,9998	24,8608	
19,9998	24,8365	
19,9998	24,8608	
19,9998	24,8365	
19,9998	24,8365	
19,9998	24,8365	
19,9998	24,8365	
19,9998	24,8365	
19,9998	24,8121	
