Displacement - Plot 0	Force - Plot 0	
0,000148	0	
0,000148	0	
0,000148	-0,0243495	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	-0,0243495	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	-0,0243495	
0,000148	-0,0243495	
0,000148	-0,0243495	
0,000148	-0,0243495	
0,000148	-0,0243495	
0,000148	0	
0,000148	0	
0,000148	0	
0,000148	-0,0243495	
0,000148	0	
0,062036	0	
0,157396	1,89926	
0,299143	3,38458	
0,42534	5,28384	
0,552475	6,72046	
0,695721	8,03533	
0,838556	9,3015	
0,9805	10,105	
1,12446	11,006	
1,25617	11,8095	
1,37705	12,2721	
1,50357	12,8322	
1,62073	13,3435	
1,75448	13,7331	
1,88126	14,0984	
1,99815	14,3662	
2,08692	14,6827	
2,22909	14,8775	
2,32472	15,2428	
2,44986	15,3158	
2,54499	15,535	
2,68649	15,7298	
2,78205	15,8759	
2,89299	16,0707	
3,0193	16,2168	
3,11423	16,4116	
3,20851	16,6063	
3,35055	16,8742	
3,44711	16,9959	
3,53009	17,069	
3,63867	17,1177	
3,71283	17,1664	
3,80625	17,4342	
3,90306	17,556	
4,04429	17,6777	
4,12854	17,4099	
4,20073	17,6047	
4,29516	17,7508	
4,39057	17,556	
4,4843	17,7021	
4,59568	17,8238	
4,68915	17,9456	
4,78472	17,9456	
4,87835	18,0673	
5,00429	18,1647	
5,10016	18,2134	
5,19403	18,3108	
5,30751	18,4326	
5,39892	18,3352	
5,49408	18,4569	
5,58845	18,53	
5,72053	18,5787	
5,80818	18,6274	
5,90279	18,7735	
5,99729	18,7978	
6,09145	18,8465	
6,1856	18,8465	
6,28093	18,7491	
6,37519	18,8465	
6,46956	18,9196	
6,56591	19,0169	
6,6902	19,1387	
6,77541	19,2361	
6,86293	19,2117	
6,94646	19,3335	
7,03401	19,3091	
7,13407	19,3335	
7,22104	19,3335	
7,31744	19,4309	
7,39367	19,4552	
7,48953	19,3335	
7,58306	19,3335	
7,6941	19,4552	
7,78847	19,5283	
7,86596	19,4796	
7,94465	19,5526	
8,0395	19,6013	
8,13364	19,6257	
8,22823	19,6013	
8,32197	19,65	
8,41712	19,6744	
8,5103	19,7231	
8,60596	19,6987	
8,70145	19,8205	
8,7948	19,7961	
8,89199	19,8205	
8,98465	19,8935	
9,07914	19,9179	
9,17305	19,9666	
9,2681	19,8692	
9,36344	19,9422	
9,45681	20,064	
9,59951	20,064	
9,70016	20,137	
9,80271	20,137	
9,89803	20,3562	
9,99289	20,1614	
10,0697	20,1857	
10,1657	20,2588	
10,2609	20,2588	
10,3543	20,3075	
10,4485	20,2101	
10,5429	20,2101	
10,6378	20,3562	
10,7315	20,4049	
10,8158	20,4049	
10,8875	20,2831	
10,9827	20,4049	
11,0771	20,4292	
11,1714	20,4779	
11,2665	20,551	
11,3605	20,4779	
11,455	20,551	
11,5656	20,5266	
11,6606	20,5997	
11,7554	20,5997	
11,8491	20,7214	
11,9442	20,5753	
12,0219	20,6971	
12,1171	20,6971	
12,2106	20,7214	
12,3049	20,7458	
12,4013	20,7214	
12,4953	20,7458	
12,5745	20,624	
12,6677	20,7214	
12,7617	20,7458	
12,8562	20,7701	
12,9517	20,7701	
13,0455	20,8432	
13,1558	20,8919	
13,2508	20,8188	
13,3443	20,8675	
13,4562	20,7945	
13,55	20,8188	
13,661	20,8432	
13,7564	20,9162	
13,8334	20,9649	
13,9276	20,8919	
14,0065	20,9406	
14,1008	20,8919	
14,196	20,9649	
14,2905	20,9649	
14,384	21,038	
14,5105	21,0623	
14,6053	21,1597	
14,6994	21,2084	
14,795	21,1841	
14,8884	21,111	
14,9573	21,1354	
15,0441	20,9893	
15,1378	20,9893	
15,2323	21,0623	
15,3098	21,0867	
15,4053	21,1354	
15,4989	21,0623	
15,5938	21,1354	
15,6887	21,1354	
15,7834	21,1841	
15,8768	21,2328	
15,9553	21,2328	
16,035	21,2328	
16,1184	21,2084	
16,2061	21,1841	
16,3003	21,2571	
16,3944	21,2815	
16,4889	21,1597	
16,584	21,3058	
16,6785	21,3788	
16,7625	21,3058	
16,8504	21,2571	
16,9297	21,4032	
17,0243	21,4032	
17,1337	21,2815	
17,2286	21,2571	
17,3235	21,3058	
17,4172	21,4519	
17,5277	21,5493	
17,6231	21,5006	
17,7177	21,4762	
17,8129	21,4032	
17,9061	21,5736	
18,0015	21,5006	
18,113	21,5006	
18,2074	21,598	
18,3018	21,5493	
18,3795	21,598	
18,4901	21,6223	
18,5843	21,6223	
18,6788	21,7197	
18,7744	21,5006	
18,8683	21,4275	
18,9623	21,4762	
19,0459	21,5493	
19,1346	21,5249	
19,23	21,5736	
19,3237	21,598	
19,4185	21,5736	
19,5134	21,5736	
19,6099	21,598	
19,6758	21,6467	
19,7355	21,6223	
19,8232	21,6467	
19,9174	21,6223	
20,0005	21,671	
19,9998	21,5736	
19,9998	21,5249	
19,9998	21,5006	
19,9998	21,5006	
19,9998	21,5006	
19,9998	21,5006	
19,9998	21,4762	
19,9998	21,4762	
19,9998	21,4762	
19,9998	21,4762	
19,9998	21,4762	
19,9998	21,4519	
19,9998	21,4519	
19,9998	21,4519	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4275	
19,9998	21,4032	
19,9998	21,4032	
19,9998	21,3788	
19,9998	21,4032	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3788	
19,9998	21,3545	
19,9998	21,3301	
19,9998	21,3058	
19,9998	21,3058	
19,9998	21,3058	
19,9998	21,3058	
19,9998	21,3058	
19,9203	21,2571	
19,8248	21,038	
19,731	21,0867	
19,636	21,038	
19,5519	20,9893	
19,4638	20,9893	
19,3692	20,8919	
19,2727	20,8919	
19,195	20,8675	
19,0998	20,8675	
19,0324	20,8432	
18,9457	20,8432	
18,8511	20,8432	
18,7732	20,8188	
18,6788	20,7458	
18,5842	20,7458	
18,4885	20,6971	
18,3952	20,6971	
18,2997	20,6971	
18,2054	20,6484	
18,1101	20,7214	
18,0165	20,6484	
17,9209	20,6971	
17,827	20,6484	
17,7316	20,5753	
17,6538	20,551	
17,5745	20,4292	
17,4805	20,4779	
17,3862	20,4536	
17,2911	20,4292	
17,1978	20,4292	
17,112	20,4292	
17,0245	20,4536	
16,9292	20,4779	
16,8345	20,4049	
16,7403	20,4779	
16,6464	20,4292	
16,5513	20,4536	
16,4568	20,4049	
16,3627	20,3075	
16,2835	20,3075	
16,1889	20,2588	
16,0948	20,2588	
15,9993	20,2101	
15,9043	20,2101	
15,827	20,1127	
15,7143	20,064	
15,6217	20,1857	
15,5266	20,1127	
15,431	20,064	
15,3362	20,064	
15,243	20,0883	
15,1483	20,064	
15,0542	19,9422	
14,9581	19,9666	
14,8646	19,8935	
14,7698	19,8205	
14,6747	19,8448	
14,591	19,8935	
14,5189	19,8692	
14,4242	19,8205	
14,3285	19,7718	
14,2349	19,8205	
14,1405	19,7231	
14,0452	19,8448	
13,9497	19,8205	
13,8553	19,7231	
13,7608	19,6744	
13,6606	19,65	
13,5727	19,6987	
13,4783	19,6257	
13,3837	19,6013	
13,2878	19,577	
13,2109	19,5283	
13,1155	19,4796	
13,0219	19,4309	
12,9528	19,4309	
12,8652	19,5039	
12,7705	19,4796	
12,6768	19,4309	
12,6067	19,3578	
12,5208	19,3335	
12,4201	19,3335	
12,3423	19,3578	
12,2806	19,3822	
12,2088	19,2117	
12,1127	19,163	
12,0175	19,09	
11,9228	19,0169	
11,8391	19,163	
11,7491	19,1387	
11,6555	19,2604	
11,5619	19,0169	
11,4674	18,9682	
11,3729	19,0413	
11,2776	18,8709	
11,1839	18,8709	
11,0888	18,8222	
10,9946	18,8465	
10,8999	18,8222	
10,8047	18,8222	
10,7093	18,7491	
10,6256	18,7491	
10,5361	18,7004	
